campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6976513156630,ASC - Magic Portraits,2025-12-02,2025-12-02,147.24,5430,4640,1.170259,27.116022,235,0.626553,4.327808,163,3.001842,7.0,129.72,,0.881011,21.034285714285716,0.04294478527607362
6972562335830,Magic - Test Sales Campaign,2025-12-03,2025-12-03,1444.93,38526,28770,1.339103,37.505321,1351,1.069526,3.506723,1104,2.865597,38.0,1509.41,,1.044625,38.02447368421053,0.034420289855072464
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-03,2025-12-03,55.04,1861,1430,1.301399,29.575497,52,1.058462,2.794197,39,2.095648,4.0,127.68,,2.319767,13.76,0.10256410256410256
6976513156630,ASC - Magic Portraits,2025-12-03,2025-12-03,136.24,5941,5013,1.185119,22.932166,184,0.740435,3.097122,129,2.171352,4.0,170.8,,1.25367,34.06,0.031007751937984496
6972562335830,Magic - Test Sales Campaign,2025-12-04,2025-12-04,1320.54,36196,26949,1.34313,36.483037,1191,1.108766,3.290419,961,2.65499,28.0,979.03,,0.741386,47.162142857142854,0.029136316337148804
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-04,2025-12-04,154.19,4518,3518,1.284252,34.127933,180,0.856611,3.984064,150,3.320053,5.0,199.81,,1.295869,30.838,0.03333333333333333
6976513156630,ASC - Magic Portraits,2025-12-04,2025-12-04,146.82,4105,3185,1.288854,35.766139,163,0.900736,3.970767,132,3.215591,4.0,123.82,,0.843346,36.705,0.030303030303030304
6972562335830,Magic - Test Sales Campaign,2025-12-05,2025-12-05,1493.41,37294,26930,1.38485,40.044243,1199,1.245546,3.214994,993,2.662627,55.0,2207.84,,1.478388,27.15290909090909,0.0553877139979859
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-05,2025-12-05,164.9,4093,3233,1.266007,40.288297,142,1.161268,3.469338,123,3.005131,5.0,137.77,,0.835476,32.980000000000004,0.04065040650406504
6976513156630,ASC - Magic Portraits,2025-12-05,2025-12-05,174.63,3731,2912,1.28125,46.805146,174,1.003621,4.663629,157,4.207987,2.0,83.86,,0.480215,87.315,0.012738853503184714
6972562335830,Magic - Test Sales Campaign,2025-12-06,2025-12-06,1244.42,28798,20635,1.39559,43.212029,1098,1.133352,3.812765,927,3.218974,41.0,1447.75,,1.163393,30.351707317073174,0.04422869471413161
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-06,2025-12-06,115.22,2755,2292,1.202007,41.822142,173,0.666012,6.279492,149,5.408348,7.0,247.67,,2.14954,16.46,0.04697986577181208
6976513156630,ASC - Magic Portraits,2025-12-06,2025-12-06,120.38,2578,2053,1.255723,46.695112,120,1.003167,4.654771,103,3.995345,5.0,97.58,,0.8106,24.076,0.04854368932038835
6972562335830,Magic - Test Sales Campaign,2025-12-07,2025-12-07,1638.2,43981,29259,1.503161,37.247903,1723,0.950784,3.917601,1428,3.246857,55.0,2220.25,,1.355299,29.785454545454545,0.03851540616246499
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-07,2025-12-07,179.83,5278,4426,1.192499,34.071618,268,0.671007,5.077681,221,4.187192,5.0,410.5,,2.282711,35.966,0.02262443438914027
6976513156630,ASC - Magic Portraits,2025-12-07,2025-12-07,175.77,4707,3852,1.221963,37.342256,224,0.784688,4.75887,204,4.333971,8.0,273.61,,1.556637,21.97125,0.0392156862745098
6972562335830,Magic - Test Sales Campaign,2025-12-08,2025-12-08,1512.65,44288,29849,1.483735,34.15485,1822,0.830214,4.113981,1463,3.303378,57.0,1683.31,,1.112822,26.537719298245616,0.03896103896103896
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-08,2025-12-08,172.02,5258,4144,1.268822,32.715862,211,0.815261,4.012933,176,3.34728,4.0,127.83,,0.743111,43.005,0.022727272727272728
6976513156630,ASC - Magic Portraits,2025-12-08,2025-12-08,156.21,4732,3817,1.239717,33.011412,182,0.858297,3.846154,152,3.212172,14.0,237.65,,1.521349,11.157857142857143,0.09210526315789473
