date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-22,2025-11-22,0.11001,5,5,1.0,22.001939,0,0.0,0,55-64,unknown,,,,,,,,
2025-11-22,2025-11-22,90.387966,1262,829,1.522316,71.622794,91,7.210777,79,65+,female,1.0,23.96,,0.26508,0.993274,6.259905,90.387966,0.012658227848101266
2025-11-22,2025-11-22,6.250551,153,87,1.758621,40.853273,3,1.960784,2,65+,male,,,,,2.083517,1.30719,,
2025-11-22,2025-11-22,0.290026,7,6,1.166667,41.432223,0,0.0,0,65+,unknown,,,,,,,,
2025-11-23,2025-11-23,1.340421,33,28,1.178571,40.618822,0,0.0,0,18-24,female,,,,,,,,
2025-11-23,2025-11-23,0.120038,3,3,1.0,40.012571,0,0.0,0,18-24,male,,,,,,,,
2025-11-23,2025-11-23,12.403897,204,148,1.378378,60.803417,9,4.411765,6,25-34,female,2.0,147.63,,11.901905,1.378211,2.941176,6.2019485,0.3333333333333333
2025-11-23,2025-11-23,1.300409,26,22,1.181818,50.015714,0,0.0,0,25-34,male,,,,,,,,
2025-11-23,2025-11-23,0.330104,3,3,1.0,110.03457,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-23,2025-11-23,63.159843,1095,806,1.358561,57.680222,40,3.652968,28,35-44,female,5.0,221.68,,3.509825,1.578996,2.557078,12.6319686,0.17857142857142858
2025-11-23,2025-11-23,6.171939,131,82,1.597561,47.114039,1,0.763359,1,35-44,male,,,,,6.171939,0.763359,,
2025-11-23,2025-11-23,0.610192,13,10,1.3,46.937824,1,7.692308,1,35-44,unknown,,,,,0.610192,7.692308,,
2025-11-23,2025-11-23,201.1632,3358,2299,1.460635,59.905658,159,4.734961,132,45-54,female,7.0,89.81,,0.446453,1.265177,3.930911,28.737599999999997,0.05303030303030303
2025-11-23,2025-11-23,11.933749,254,197,1.28934,46.983265,7,2.755906,6,45-54,male,,,,,1.704821,2.362205,,
2025-11-23,2025-11-23,0.500157,11,6,1.833333,45.468831,0,0.0,0,45-54,unknown,,,,,,,,
2025-11-23,2025-11-23,292.411868,4243,2981,1.423348,68.916302,225,5.302852,191,55-64,female,17.0,443.41,,1.516389,1.299608,4.501532,17.20069811764706,0.08900523560209424
2025-11-23,2025-11-23,21.16665,378,259,1.459459,55.996429,9,2.380952,9,55-64,male,,,,,2.35185,2.380952,,
2025-11-23,2025-11-23,0.900283,17,11,1.545455,52.957814,0,0.0,0,55-64,unknown,,,,,,,,
2025-11-23,2025-11-23,171.62392,2406,1677,1.434705,71.331637,136,5.652535,124,65+,female,2.0,35.95,,0.20947,1.261941,5.153782,85.81196,0.016129032258064516
2025-11-23,2025-11-23,9.763067,242,162,1.493827,40.343253,6,2.479339,4,65+,male,,,,,1.627178,1.652893,,
2025-11-23,2025-11-23,0.840264,18,16,1.125,46.681333,0,0.0,0,65+,unknown,,,,,,,,
2025-11-24,2025-11-24,1.690059,34,27,1.259259,49.707616,2,5.882353,2,18-24,female,,,,,0.845029,5.882353,,
2025-11-24,2025-11-24,0.170006,8,5,1.6,21.250741,0,0.0,0,18-24,male,,,,,,,,
2025-11-24,2025-11-24,14.680512,408,259,1.57529,35.981647,18,4.411765,16,25-34,female,1.0,16.99,,1.157317,0.815584,3.921569,14.680512,0.0625
2025-11-24,2025-11-24,1.220043,38,35,1.085714,32.106383,1,2.631579,1,25-34,male,,,,,1.220043,2.631579,,
2025-11-24,2025-11-24,0.060002,1,1,1.0,60.002092,0,0.0,0,25-34,unknown,,,,,,,,
