date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-09-01,1429.6,57451,848,20.0,1501.6,311.0,2026-09-15
2026-09-02,1206.21,50645,687,16.0,1141.14,302.0,2026-09-15
2026-09-03,1378.15,49383,751,10.0,752.48,294.0,2026-09-15
2026-09-04,1295.03,49858,664,23.0,1565.12,302.0,2026-09-15
2026-09-05,1268.05,45505,739,25.0,1803.22,335.0,2026-09-15
2026-09-06,1457.87,52391,845,30.0,2073.12,476.0,2026-09-15
2026-09-07,1756.99,59330,1042,29.0,2263.58,490.0,2026-09-15
2026-09-08,1327.09,48620,728,27.0,2253.09,331.0,2026-09-15
2026-09-09,1378.14,50247,782,22.0,1574.52,333.0,2026-09-15
2026-09-10,1411.51,53107,813,37.0,2825.28,332.0,2026-09-15
2026-09-11,1577.39,52006,788,19.0,1588.12,282.0,2026-09-15
2026-09-12,1440.08,46756,822,16.0,1178.91,316.0,2026-09-15
2026-09-13,1874.83,60010,1048,13.0,861.26,431.0,2026-09-15
2026-09-14,1316.14,46538,836,15.0,988.42,315.0,2026-09-15
