date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-06,2591.76,99768,1415,38.0,2912.24,523.0,2026-08-20
2026-08-07,2635.79,103850,1231,39.0,2887.33,450.0,2026-08-20
2026-08-08,2593.73,108030,1272,30.0,2258.35,422.0,2026-08-20
2026-08-09,2837.61,109240,1413,34.0,2557.63,570.0,2026-08-20
2026-08-10,2178.63,96517,1214,34.0,2149.76,455.0,2026-08-20
2026-08-11,1953.9,84899,1106,35.0,2656.73,424.0,2026-08-20
2026-08-12,2002.62,83325,1095,32.0,2777.21,459.0,2026-08-20
2026-08-13,2132.92,80040,1156,29.0,2080.38,533.0,2026-08-20
2026-08-14,1943.59,72378,1130,29.0,2928.9,557.0,2026-08-20
2026-08-15,1893.71,72244,1132,31.0,2361.59,574.0,2026-08-20
2026-08-16,2356.89,99984,1385,46.0,2709.25,519.0,2026-08-20
2026-08-17,2082.62,108253,1290,26.0,1889.61,418.0,2026-08-20
2026-08-18,1691.11,68362,1023,26.0,1956.25,365.0,2026-08-20
2026-08-19,1902.16,79174,1038,24.0,1784.17,364.0,2026-08-20
