date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-06-28,2305.3,102113,1248,22.0,1083.19,459.0,2026-07-12
2026-06-29,2118.26,93143,1033,36.0,2191.75,341.0,2026-07-12
2026-06-30,2161.8,95633,1082,32.0,1955.58,370.0,2026-07-12
2026-07-01,1976.31,93549,1092,32.0,1641.92,349.0,2026-07-12
2026-07-02,2200.37,97975,1099,20.0,1032.28,349.0,2026-07-12
2026-07-03,2192.7,94828,1058,28.0,1600.28,360.0,2026-07-12
2026-07-04,2164.65,92351,1082,37.0,2116.23,379.0,2026-07-12
2026-07-05,2155.82,93778,1121,27.0,1671.54,384.0,2026-07-12
2026-07-06,1987.45,93634,1047,39.0,2380.99,458.0,2026-07-12
2026-07-07,2324.12,96627,1146,34.0,2212.0,414.0,2026-07-12
2026-07-08,2249.74,89246,1159,29.0,1755.61,385.0,2026-07-12
2026-07-09,2089.03,85023,1052,39.0,2042.99,360.0,2026-07-12
2026-07-10,1848.62,73340,915,38.0,2241.77,358.0,2026-07-12
2026-07-11,2205.5,93771,1103,27.0,1979.86,370.0,2026-07-12
