date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-26,1407.98,67532,979,17.0,1374.84,415.0,2026-09-09
2026-08-27,1377.95,63964,926,28.0,1792.01,370.0,2026-09-09
2026-08-28,1357.74,58385,865,23.0,1640.46,365.0,2026-09-09
2026-08-29,1304.47,63488,935,20.0,1483.37,344.0,2026-09-09
2026-08-30,1575.19,66967,1042,36.0,3311.16,482.0,2026-09-09
2026-08-31,1168.99,49093,781,17.0,1401.15,333.0,2026-09-09
2026-09-01,1429.6,57451,848,20.0,1501.6,311.0,2026-09-09
2026-09-02,1206.21,50645,687,16.0,1141.14,302.0,2026-09-09
2026-09-03,1378.15,49383,751,10.0,752.48,294.0,2026-09-09
2026-09-04,1295.03,49858,664,23.0,1565.12,302.0,2026-09-09
2026-09-05,1268.05,45505,739,25.0,1803.22,335.0,2026-09-09
2026-09-06,1457.87,52391,845,30.0,2073.12,476.0,2026-09-09
2026-09-07,1756.98,59329,1042,29.0,2263.58,490.0,2026-09-09
2026-09-08,1311.85,48297,725,27.0,2253.09,331.0,2026-09-09
