date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-07-23,2652.7,133865,1729,37.0,2228.97,568.0,2026-08-06
2026-07-24,2643.39,119929,1608,40.0,2852.16,550.0,2026-08-06
2026-07-25,2559.07,126484,1731,45.0,3140.76,596.0,2026-08-06
2026-07-26,2712.51,122954,2017,56.0,3782.44,823.0,2026-08-06
2026-07-27,2429.28,121765,1606,50.0,2901.86,640.0,2026-08-06
2026-07-28,2652.69,129783,1662,40.0,2260.77,612.0,2026-08-06
2026-07-29,2934.11,188030,2121,35.0,2400.3,700.0,2026-08-06
2026-07-30,2979.62,221195,2305,38.0,2727.2,637.0,2026-08-06
2026-07-31,2903.39,207115,2238,60.0,4695.17,693.0,2026-08-06
2026-08-01,2686.14,188341,2146,36.0,2309.98,674.0,2026-08-06
2026-08-02,3246.95,216930,2391,57.0,3736.15,805.0,2026-08-06
2026-08-03,2656.07,147638,1819,41.0,3222.76,632.0,2026-08-06
2026-08-04,2372.57,95507,1342,41.0,2928.64,478.0,2026-08-06
2026-08-05,2774.82,109749,1513,40.0,2559.0,510.0,2026-08-06
