date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-09-10,1411.51,53107,813,37.0,2825.28,332.0,2026-09-24
2026-09-11,1577.39,52006,788,19.0,1588.12,282.0,2026-09-24
2026-09-12,1440.08,46756,822,16.0,1178.91,316.0,2026-09-24
2026-09-13,1874.86,60012,1048,13.0,861.26,431.0,2026-09-24
2026-09-14,1329.85,46830,840,15.0,988.42,315.0,2026-09-24
2026-09-15,1902.02,71278,931,12.0,647.76,311.0,2026-09-24
2026-09-16,1272.02,39192,660,22.0,1992.07,296.0,2026-09-24
2026-09-17,1247.9,40559,671,14.0,1229.32,285.0,2026-09-24
2026-09-18,1111.2,35152,623,20.0,1612.3,239.0,2026-09-24
2026-09-19,1034.02,32254,569,17.0,1591.32,249.0,2026-09-24
2026-09-20,1379.27,41257,726,19.0,1215.07,332.0,2026-09-24
2026-09-21,1112.73,35344,605,23.0,1528.02,268.0,2026-09-24
2026-09-22,1361.23,46748,635,20.0,2359.36,271.0,2026-09-24
2026-09-23,1170.57,34548,518,19.0,1566.13,194.0,2026-09-24
