date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-06-18,1696.88,85535,953,26.0,1516.71,367.0,2026-07-02
2026-06-19,1882.1,85863,1078,25.0,1551.97,427.0,2026-07-02
2026-06-20,1752.61,77357,1057,33.0,2041.35,445.0,2026-07-02
2026-06-21,2190.92,118631,1395,33.0,2477.42,536.0,2026-07-02
2026-06-22,2087.48,124484,1327,39.0,2132.16,486.0,2026-07-02
2026-06-23,2107.29,115421,1305,34.0,2085.29,429.0,2026-07-02
2026-06-24,2001.26,75150,962,30.0,2085.5,382.0,2026-07-02
2026-06-25,1984.66,79022,1001,36.0,2144.32,347.0,2026-07-02
2026-06-26,2013.7,88553,935,20.0,1390.57,325.0,2026-07-02
2026-06-27,2325.88,101953,1179,24.0,1584.64,441.0,2026-07-02
2026-06-28,2305.3,102113,1248,22.0,1083.19,459.0,2026-07-02
2026-06-29,2118.26,93143,1033,36.0,2191.75,341.0,2026-07-02
2026-06-30,2161.8,95632,1082,32.0,1955.58,370.0,2026-07-02
2026-07-01,1974.78,93491,1091,32.0,1641.92,349.0,2026-07-02
