date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-02,3246.95,216930,2391,57.0,3736.15,805.0,2026-08-16
2026-08-03,2656.07,147638,1819,41.0,3222.76,632.0,2026-08-16
2026-08-04,2372.6,95509,1343,41.0,2928.64,478.0,2026-08-16
2026-08-05,2799.78,110375,1524,40.0,2559.0,512.0,2026-08-16
2026-08-06,2591.76,99768,1415,38.0,2912.24,523.0,2026-08-16
2026-08-07,2635.79,103850,1231,39.0,2887.33,450.0,2026-08-16
2026-08-08,2593.73,108030,1272,30.0,2258.35,422.0,2026-08-16
2026-08-09,2837.61,109240,1413,34.0,2557.63,570.0,2026-08-16
2026-08-10,2178.63,96517,1214,34.0,2149.76,455.0,2026-08-16
2026-08-11,1953.9,84899,1106,35.0,2656.73,424.0,2026-08-16
2026-08-12,2002.62,83325,1095,32.0,2777.21,459.0,2026-08-16
2026-08-13,2132.92,80040,1156,29.0,2080.38,533.0,2026-08-16
2026-08-14,1943.58,72375,1130,29.0,2928.9,557.0,2026-08-16
2026-08-15,1876.84,71630,1118,31.0,2361.59,567.0,2026-08-16
