date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-13,2132.92,80040,1156,29.0,2080.38,533.0,2026-08-27
2026-08-14,1943.59,72378,1130,29.0,2928.9,557.0,2026-08-27
2026-08-15,1893.71,72244,1132,31.0,2361.59,574.0,2026-08-27
2026-08-16,2356.89,99984,1385,46.0,2709.25,519.0,2026-08-27
2026-08-17,2082.62,108253,1290,26.0,1889.61,418.0,2026-08-27
2026-08-18,1691.12,68363,1023,26.0,1956.25,365.0,2026-08-27
2026-08-19,1940.78,80716,1056,24.0,1784.17,366.0,2026-08-27
2026-08-20,1687.95,75321,1024,38.0,2266.4,391.0,2026-08-27
2026-08-21,1716.94,103878,1184,25.0,1404.0,320.0,2026-08-27
2026-08-22,1394.49,92502,1068,22.0,1635.32,348.0,2026-08-27
2026-08-23,1618.19,77442,1067,17.0,1580.99,361.0,2026-08-27
2026-08-24,1619.01,72983,1054,24.0,1758.21,408.0,2026-08-27
2026-08-25,1420.14,68114,1030,24.0,1663.46,360.0,2026-08-27
2026-08-26,1406.08,67481,979,17.0,1374.84,415.0,2026-08-27
