date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-24,1619.01,72983,1054,24.0,1758.21,408.0,2026-09-07
2026-08-25,1420.14,68115,1030,24.0,1663.46,360.0,2026-09-07
2026-08-26,1407.98,67532,979,17.0,1374.84,415.0,2026-09-07
2026-08-27,1377.95,63964,926,28.0,1792.01,370.0,2026-09-07
2026-08-28,1357.74,58385,865,23.0,1640.46,365.0,2026-09-07
2026-08-29,1304.47,63488,935,20.0,1483.37,344.0,2026-09-07
2026-08-30,1575.19,66967,1042,36.0,3311.16,482.0,2026-09-07
2026-08-31,1168.99,49093,781,17.0,1401.15,333.0,2026-09-07
2026-09-01,1429.6,57451,848,20.0,1501.6,311.0,2026-09-07
2026-09-02,1206.21,50645,687,16.0,1141.14,302.0,2026-09-07
2026-09-03,1378.15,49383,751,10.0,752.48,294.0,2026-09-07
2026-09-04,1295.03,49858,664,23.0,1565.12,302.0,2026-09-07
2026-09-05,1268.0,45503,738,25.0,1803.22,335.0,2026-09-07
2026-09-06,1448.67,52088,842,30.0,2073.12,476.0,2026-09-07
