date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-08-29,1304.47,63488,935,20.0,1483.37,344.0,2026-09-12
2026-08-30,1575.19,66967,1042,36.0,3311.16,482.0,2026-09-12
2026-08-31,1168.99,49093,781,17.0,1401.15,333.0,2026-09-12
2026-09-01,1429.6,57451,848,20.0,1501.6,311.0,2026-09-12
2026-09-02,1206.21,50645,687,16.0,1141.14,302.0,2026-09-12
2026-09-03,1378.15,49383,751,10.0,752.48,294.0,2026-09-12
2026-09-04,1295.03,49858,664,23.0,1565.12,302.0,2026-09-12
2026-09-05,1268.05,45505,739,25.0,1803.22,335.0,2026-09-12
2026-09-06,1457.87,52391,845,30.0,2073.12,476.0,2026-09-12
2026-09-07,1756.99,59330,1042,29.0,2263.58,490.0,2026-09-12
2026-09-08,1327.09,48620,728,27.0,2253.09,331.0,2026-09-12
2026-09-09,1378.14,50247,782,22.0,1574.52,333.0,2026-09-12
2026-09-10,1411.5,53104,813,37.0,2825.28,332.0,2026-09-12
2026-09-11,1566.78,51720,784,19.0,1588.12,282.0,2026-09-12
