date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-07-15,2366.6,112438,1450,44.0,2413.83,553.0,2026-07-29
2026-07-16,2522.11,131741,1727,36.0,2122.18,681.0,2026-07-29
2026-07-17,2593.01,138780,1826,41.0,2648.08,685.0,2026-07-29
2026-07-18,2413.17,136720,1783,39.0,2612.13,637.0,2026-07-29
2026-07-19,2425.1,122472,1642,42.0,2708.23,640.0,2026-07-29
2026-07-20,2327.23,126399,1642,39.0,2295.07,596.0,2026-07-29
2026-07-21,2453.24,131625,1701,50.0,3408.97,606.0,2026-07-29
2026-07-22,2466.76,127382,1551,30.0,1875.71,509.0,2026-07-29
2026-07-23,2652.7,133865,1729,37.0,2228.97,568.0,2026-07-29
2026-07-24,2643.39,119929,1608,40.0,2852.16,550.0,2026-07-29
2026-07-25,2559.07,126484,1731,45.0,3140.76,596.0,2026-07-29
2026-07-26,2712.51,122954,2017,56.0,3782.44,823.0,2026-07-29
2026-07-27,2429.18,121759,1606,50.0,2901.86,640.0,2026-07-29
2026-07-28,2638.31,129275,1657,40.0,2260.77,612.0,2026-07-29
